return_id,sale_id,return_reason,return_date
156,216865,Expired,28-08-2023
157,52958,Expired,01-05-2023
158,113068,Expired,15-04-2023
159,160515,Wrong Item,31-10-2023
160,14015,Expired,14-01-2023
161,138417,Expired,28-04-2023
162,182878,Expired,06-05-2023
163,4273,Damaged,03-08-2023
164,219714,Damaged,18-12-2023
165,186861,Expired,07-11-2023
166,229038,Customer Return,16-09-2023
167,152568,Damaged,02-12-2023
168,244453,Wrong Item,10-01-2023
169,153344,Expired,26-04-2023
170,202845,Wrong Item,28-04-2023
171,120535,Expired,26-07-2023
172,83028,Damaged,09-05-2023
173,103226,Wrong Item,02-03-2023
174,24109,Wrong Item,26-11-2023
175,143656,Expired,27-06-2023
176,55135,Expired,11-08-2023
177,111380,Expired,17-04-2023
178,54844,Customer Return,28-03-2023
179,204826,Expired,21-10-2023
180,30028,Damaged,02-10-2023
181,243500,Customer Return,29-01-2023
182,158194,Wrong Item,15-04-2023
183,202777,Damaged,05-03-2023
184,29705,Damaged,09-10-2023
185,81211,Expired,02-04-2023
186,32302,Damaged,08-02-2023
187,89251,Expired,23-08-2023
188,224465,Expired,17-01-2023
189,26974,Damaged,10-05-2023
190,1396,Customer Return,27-08-2023
191,58823,Wrong Item,25-02-2023
192,163138,Wrong Item,14-11-2023
193,159725,Wrong Item,04-03-2023
194,206168,Expired,29-01-2023
195,26889,Damaged,08-03-2023
196,207757,Customer Return,16-03-2023
197,226489,Expired,14-02-2023
198,133946,Damaged,04-03-2023
199,67300,Wrong Item,17-03-2023
200,217098,Wrong Item,24-03-2023
201,118889,Wrong Item,20-11-2023
202,48514,Customer Return,29-11-2023
203,237576,Customer Return,17-07-2023
204,59981,Wrong Item,26-07-2023
205,151124,Wrong Item,25-03-2023
206,236974,Customer Return,09-10-2023
207,5688,Damaged,06-07-2023
208,145122,Expired,25-10-2023
209,228635,Wrong Item,29-03-2023
210,38049,Expired,25-02-2023
211,237750,Wrong Item,03-09-2023
212,52440,Expired,20-03-2023
213,9409,Damaged,16-12-2023
214,243250,Expired,18-08-2023
215,201721,Wrong Item,06-05-2023
216,191940,Wrong Item,03-02-2023
217,67963,Customer Return,14-03-2023
218,5792,Damaged,18-02-2023
219,24967,Customer Return,27-01-2023
220,243049,Expired,18-08-2023
221,232152,Wrong Item,22-03-2023
222,84377,Customer Return,29-09-2023
223,128077,Wrong Item,20-01-2023
224,27961,Customer Return,02-10-2023
225,243058,Expired,30-10-2023
226,101168,Damaged,04-03-2023
227,52219,Expired,08-06-2023
228,124917,Customer Return,26-05-2023
229,102404,Wrong Item,11-08-2023
230,249536,Customer Return,23-09-2023
231,204326,Damaged,27-01-2023
232,190666,Wrong Item,17-06-2023
233,38241,Customer Return,25-10-2023
234,135780,Expired,10-05-2023
235,210951,Customer Return,03-04-2023
236,184774,Wrong Item,26-06-2023
237,129493,Customer Return,02-09-2023
238,20272,Expired,21-05-2023
239,225089,Customer Return,15-08-2023
240,171016,Damaged,27-06-2023
241,136951,Expired,24-09-2023
242,43674,Customer Return,08-03-2023
243,77696,Damaged,23-12-2023
244,186206,Expired,08-11-2023
245,232399,Wrong Item,15-11-2023
246,213220,Expired,11-03-2023
247,87059,Wrong Item,08-09-2023
248,25870,Wrong Item,14-10-2023
249,144840,Expired,12-01-2023
250,104755,Customer Return,10-04-2023
251,221617,Customer Return,27-12-2023
252,210411,Damaged,28-12-2023
253,197,Damaged,24-11-2023
254,161456,Wrong Item,15-08-2023
255,155858,Wrong Item,10-06-2023
256,73898,Expired,09-03-2023
257,66131,Expired,26-01-2023
258,228362,Wrong Item,12-10-2023
259,206300,Damaged,26-08-2023
260,131687,Damaged,12-02-2023
261,123187,Wrong Item,24-04-2023
262,86517,Expired,05-08-2023
263,11401,Damaged,28-09-2023
264,139746,Wrong Item,04-04-2023
265,105687,Damaged,17-05-2023
266,95344,Damaged,21-09-2023
267,130708,Wrong Item,09-10-2023
268,77417,Wrong Item,10-03-2023
269,188203,Damaged,07-01-2023
270,83580,Customer Return,02-01-2023
271,217371,Damaged,09-09-2023
272,247160,Expired,09-04-2023
273,205587,Customer Return,22-08-2023
274,25095,Expired,17-06-2023
275,20147,Damaged,30-12-2023
276,159627,Wrong Item,27-12-2023
277,65620,Customer Return,30-10-2023
278,62439,Damaged,16-01-2023
279,240075,Expired,10-02-2023
280,54701,Wrong Item,02-02-2023
281,121646,Wrong Item,15-03-2023
282,105431,Wrong Item,12-10-2023
283,68636,Damaged,12-02-2023
284,155107,Wrong Item,30-10-2023
285,198166,Expired,13-06-2023
286,242145,Customer Return,04-10-2023
287,237298,Expired,28-03-2023
288,170508,Damaged,18-07-2023
289,64615,Expired,10-11-2023
290,141393,Damaged,26-11-2023
291,139254,Damaged,10-05-2023
292,122943,Wrong Item,04-09-2023
293,176123,Customer Return,22-01-2023
294,80120,Damaged,24-12-2023
295,129015,Customer Return,08-02-2023
296,243024,Expired,03-01-2023
297,240241,Damaged,01-07-2023
298,38467,Wrong Item,16-02-2023
299,221097,Customer Return,14-11-2023
300,205733,Wrong Item,08-07-2023
301,245604,Damaged,31-03-2023
302,182075,Customer Return,05-10-2023
303,108879,Wrong Item,30-11-2023
304,197719,Damaged,18-12-2023
305,161757,Damaged,01-12-2023
306,175513,Expired,22-04-2023
307,148617,Damaged,08-12-2023
308,33476,Wrong Item,16-02-2023
309,156482,Wrong Item,04-11-2023
310,151288,Wrong Item,23-06-2023
311,132360,Customer Return,27-06-2023
312,141931,Expired,10-12-2023
313,32340,Customer Return,02-04-2023
314,100494,Expired,15-10-2023
315,150885,Wrong Item,27-12-2023
316,236365,Wrong Item,14-12-2023
317,98399,Expired,25-11-2023
318,203314,Damaged,05-10-2023
319,134788,Customer Return,21-10-2023
320,128940,Expired,26-09-2023
321,17597,Expired,18-05-2023
322,247839,Expired,22-10-2023
323,45350,Wrong Item,24-02-2023
324,187060,Customer Return,24-07-2023
325,14681,Expired,18-02-2023
326,185762,Expired,14-09-2023
327,149728,Expired,26-07-2023
328,244372,Wrong Item,29-04-2023
329,165130,Expired,25-05-2023
330,194913,Wrong Item,12-07-2023
331,61931,Expired,01-07-2023
332,107410,Customer Return,12-04-2023
333,14697,Expired,21-10-2023
334,219803,Expired,02-01-2023
335,181209,Expired,10-10-2023
336,91126,Customer Return,28-11-2023
337,65315,Expired,07-02-2023
338,168468,Damaged,01-06-2023
339,127041,Damaged,20-02-2023
340,176839,Damaged,14-08-2023
341,7407,Damaged,05-09-2023
342,159132,Damaged,20-08-2023
343,9725,Expired,25-12-2023
344,63568,Wrong Item,02-06-2023
345,193516,Expired,17-08-2023
346,202931,Expired,24-09-2023
347,45529,Customer Return,24-07-2023
348,240211,Customer Return,13-09-2023
349,24126,Expired,18-03-2023
350,65727,Customer Return,09-05-2023
351,54001,Damaged,30-12-2023
352,220485,Expired,21-12-2023
353,156066,Expired,19-02-2023
354,247741,Damaged,10-08-2023
355,129153,Customer Return,28-01-2023
356,230672,Expired,09-01-2023
357,175243,Expired,26-09-2023
358,225965,Customer Return,01-04-2023
359,225948,Expired,05-05-2023
360,82674,Damaged,07-01-2023
361,33690,Expired,09-10-2023
362,103430,Expired,22-06-2023
363,2626,Damaged,23-10-2023
364,249473,Wrong Item,21-11-2023
365,45977,Damaged,19-07-2023
366,130757,Expired,03-01-2023
367,67823,Expired,24-07-2023
368,88466,Wrong Item,18-02-2023
369,129806,Expired,01-02-2023
370,193399,Expired,09-07-2023
371,138893,Wrong Item,05-08-2023
372,33512,Wrong Item,07-08-2023
373,130379,Wrong Item,13-05-2023
374,167958,Damaged,05-04-2023
375,161359,Customer Return,26-06-2023
376,122891,Wrong Item,30-04-2023
377,66267,Damaged,17-01-2023
378,143135,Damaged,15-08-2023
379,131558,Damaged,18-01-2023
380,220491,Customer Return,22-10-2023
381,153237,Expired,30-09-2023
382,175756,Wrong Item,20-11-2023
383,119820,Damaged,13-08-2023
384,88805,Customer Return,23-12-2023
385,104932,Expired,06-04-2023
386,182442,Wrong Item,15-04-2023
387,21881,Customer Return,30-01-2023
388,5881,Wrong Item,04-05-2023
389,194652,Wrong Item,05-07-2023
390,223321,Expired,12-03-2023
391,8393,Expired,19-08-2023
392,196941,Customer Return,14-08-2023
393,147129,Damaged,12-02-2023
394,204074,Customer Return,13-06-2023
395,168040,Expired,15-08-2023
396,77280,Expired,19-08-2023
397,219305,Customer Return,01-01-2023
398,111452,Expired,03-11-2023
399,147167,Damaged,30-09-2023
400,229022,Damaged,28-06-2023
401,161777,Wrong Item,08-03-2023
402,38908,Damaged,06-12-2023
403,136958,Expired,27-12-2023
404,188599,Wrong Item,30-12-2023
405,241365,Customer Return,30-09-2023
406,140703,Customer Return,23-03-2023
407,90336,Wrong Item,14-02-2023
408,182181,Damaged,25-10-2023
409,143443,Customer Return,12-06-2023
410,187705,Expired,28-03-2023
411,235856,Customer Return,14-11-2023
412,17935,Expired,22-08-2023
413,37604,Wrong Item,11-08-2023
414,243957,Damaged,26-05-2023
415,239842,Customer Return,09-10-2023
416,216183,Customer Return,30-01-2023
417,109170,Damaged,26-05-2023
418,171420,Expired,26-10-2023
419,174141,Damaged,02-08-2023
420,216425,Wrong Item,06-08-2023
421,107784,Expired,17-03-2023
422,118490,Expired,17-06-2023
423,193313,Customer Return,09-04-2023
424,72623,Expired,16-03-2023
425,34967,Wrong Item,13-12-2023
426,36284,Wrong Item,03-11-2023
427,51108,Expired,18-02-2023
428,196702,Damaged,22-04-2023
429,51726,Damaged,21-07-2023
430,81566,Damaged,29-12-2023
431,188012,Wrong Item,29-06-2023
432,114033,Customer Return,30-06-2023
433,132500,Wrong Item,31-05-2023
434,28936,Wrong Item,14-02-2023
435,249584,Damaged,23-12-2023
436,174024,Damaged,14-03-2023
437,126914,Customer Return,24-05-2023
438,115115,Customer Return,10-04-2023
439,217149,Damaged,03-04-2023
440,51779,Customer Return,12-08-2023
441,70757,Damaged,15-05-2023
442,234378,Damaged,08-07-2023
443,10095,Wrong Item,16-11-2023
444,208446,Wrong Item,04-12-2023
445,151612,Customer Return,28-07-2023
446,69512,Expired,28-12-2023
447,108770,Damaged,13-03-2023
448,121577,Wrong Item,31-10-2023
449,33642,Wrong Item,26-06-2023
450,88692,Damaged,26-01-2023
451,246680,Customer Return,23-11-2023
452,248979,Damaged,26-04-2023
453,153698,Damaged,26-12-2023
454,200,Wrong Item,25-12-2023
455,4068,Customer Return,19-11-2023
456,195648,Wrong Item,12-09-2023
457,147069,Wrong Item,01-03-2023
458,167701,Expired,19-01-2023
459,139697,Customer Return,06-11-2023
460,210569,Customer Return,08-09-2023
461,58260,Wrong Item,08-05-2023
462,37662,Damaged,02-08-2023
463,142616,Expired,27-03-2023
464,29360,Wrong Item,20-11-2023
465,122335,Expired,19-09-2023
466,12586,Customer Return,09-12-2023
467,221819,Customer Return,05-08-2023
468,1908,Customer Return,17-01-2023
469,100770,Damaged,09-01-2023
470,132132,Wrong Item,09-09-2023
471,56243,Damaged,04-10-2023
472,217893,Expired,23-10-2023
473,149194,Expired,01-08-2023
474,162641,Wrong Item,02-04-2023
475,105810,Damaged,28-02-2023
476,214160,Customer Return,22-08-2023
477,139500,Wrong Item,08-03-2023
478,67451,Wrong Item,20-06-2023
479,211680,Customer Return,02-03-2023
480,38154,Customer Return,26-06-2023
481,174324,Wrong Item,26-05-2023
482,160284,Damaged,28-06-2023
483,27323,Expired,17-09-2023
484,14078,Customer Return,25-03-2023
485,80357,Customer Return,28-08-2023
486,40968,Expired,21-05-2023
487,119007,Expired,11-03-2023
488,197496,Customer Return,09-02-2023
489,9807,Damaged,04-08-2023
490,200081,Expired,24-02-2023
491,102351,Expired,02-05-2023
492,135734,Wrong Item,23-01-2023
493,143501,Customer Return,10-09-2023
494,208242,Expired,23-04-2023
495,153019,Customer Return,25-11-2023
496,44492,Wrong Item,15-05-2023
497,44177,Wrong Item,07-01-2023
498,189655,Wrong Item,06-10-2023
499,149618,Wrong Item,10-01-2023
500,64706,Wrong Item,03-02-2023
501,206323,Expired,06-04-2023
502,79791,Expired,28-12-2023
503,112424,Customer Return,05-04-2023
504,102717,Damaged,15-01-2023
505,111762,Expired,01-12-2023
506,3244,Customer Return,14-12-2023
507,56248,Damaged,29-06-2023
508,176498,Wrong Item,13-02-2023
509,248128,Customer Return,11-02-2023
510,191659,Customer Return,09-04-2023
511,91042,Expired,14-02-2023
512,65016,Damaged,27-08-2023
513,151056,Damaged,02-07-2023
514,96672,Customer Return,25-11-2023
515,154753,Damaged,07-10-2023
516,169733,Wrong Item,13-08-2023
517,73571,Wrong Item,14-08-2023
518,240089,Expired,27-03-2023
519,76283,Customer Return,23-11-2023
520,160098,Customer Return,25-09-2023
521,147946,Damaged,27-07-2023
522,233032,Customer Return,15-10-2023
523,156892,Expired,23-04-2023
524,65298,Damaged,15-12-2023
525,236840,Damaged,01-07-2023
526,124227,Expired,14-05-2023
527,168972,Damaged,23-04-2023
528,106817,Wrong Item,13-06-2023
529,57130,Customer Return,28-02-2023
530,198338,Damaged,14-12-2023
531,8913,Customer Return,11-04-2023
532,199850,Expired,05-04-2023
533,754,Damaged,24-06-2023
534,66073,Customer Return,15-09-2023
535,148855,Customer Return,29-06-2023
536,176097,Damaged,06-08-2023
537,169534,Expired,24-05-2023
538,214287,Damaged,18-08-2023
539,86182,Customer Return,06-07-2023
540,169091,Wrong Item,12-10-2023
541,82143,Damaged,09-02-2023
542,87385,Wrong Item,02-01-2023
543,214214,Wrong Item,13-02-2023
544,197448,Expired,08-11-2023
545,199500,Expired,17-12-2023
546,116437,Expired,14-06-2023
547,134203,Expired,05-04-2023
548,231275,Wrong Item,30-09-2023
549,30714,Customer Return,15-09-2023
550,68471,Expired,17-01-2023
551,232594,Customer Return,15-10-2023
552,178805,Damaged,24-03-2023
553,142877,Damaged,19-03-2023
554,70306,Damaged,04-06-2023
555,203498,Damaged,15-05-2023
556,42190,Expired,15-08-2023
557,228599,Customer Return,24-01-2023
558,234711,Customer Return,18-07-2023
559,227819,Damaged,06-09-2023
560,100586,Expired,05-01-2023
561,240657,Customer Return,21-02-2023
562,17317,Wrong Item,08-06-2023
563,27694,Expired,06-04-2023
564,222112,Damaged,31-05-2023
565,51560,Expired,04-07-2023
566,175421,Customer Return,22-09-2023
567,99805,Customer Return,14-03-2023
568,219155,Expired,16-11-2023
569,25376,Wrong Item,14-03-2023
570,6037,Expired,18-11-2023
571,119763,Damaged,27-01-2023
572,37929,Expired,01-09-2023
573,109036,Expired,29-01-2023
574,74848,Customer Return,20-11-2023
575,142399,Wrong Item,04-08-2023
576,241614,Customer Return,03-04-2023
577,51717,Customer Return,17-08-2023
578,221168,Damaged,13-10-2023
579,128076,Damaged,23-06-2023
580,79539,Damaged,08-12-2023
581,148589,Customer Return,11-07-2023
582,149369,Damaged,31-08-2023
583,92660,Customer Return,01-10-2023
584,228053,Expired,22-06-2023
585,242664,Damaged,04-08-2023
586,157830,Wrong Item,19-06-2023
587,117192,Expired,02-01-2023
588,60665,Wrong Item,13-02-2023
589,227544,Customer Return,16-08-2023
590,158415,Customer Return,20-09-2023
591,43841,Wrong Item,07-03-2023
592,229388,Wrong Item,15-03-2023
593,58433,Wrong Item,30-05-2023
594,109894,Wrong Item,06-03-2023
595,81918,Wrong Item,25-08-2023
596,121875,Damaged,22-08-2023
597,14284,Expired,22-05-2023
598,248792,Damaged,03-08-2023
599,89983,Wrong Item,25-08-2023
600,23206,Damaged,12-01-2023
601,71477,Wrong Item,23-09-2023
602,191624,Expired,28-12-2023
603,169949,Customer Return,03-02-2023
604,95775,Wrong Item,02-02-2023
605,151498,Wrong Item,25-09-2023
606,231233,Customer Return,07-02-2023
607,121505,Customer Return,09-09-2023
608,85225,Damaged,30-04-2023
609,112007,Damaged,29-06-2023
610,86937,Expired,14-12-2023
611,189289,Customer Return,20-08-2023
612,182555,Wrong Item,19-06-2023
613,87783,Damaged,03-07-2023
614,240370,Expired,22-08-2023
615,182294,Damaged,17-07-2023
616,213775,Expired,04-04-2023
617,192571,Customer Return,09-06-2023
618,201889,Wrong Item,16-01-2023
619,124094,Expired,24-12-2023
620,153009,Wrong Item,08-06-2023
621,88919,Damaged,04-08-2023
622,77262,Customer Return,16-08-2023
623,154997,Customer Return,04-11-2023
624,54832,Customer Return,26-04-2023
625,112520,Wrong Item,07-12-2023
626,118070,Expired,07-02-2023
627,203969,Damaged,28-11-2023
628,102185,Customer Return,18-12-2023
629,19090,Expired,11-04-2023
630,236213,Damaged,26-04-2023
631,76792,Damaged,24-12-2023
632,219031,Wrong Item,02-12-2023
633,155811,Wrong Item,10-05-2023
634,43691,Expired,10-12-2023
635,11657,Damaged,12-02-2023
636,88922,Customer Return,26-09-2023
637,138062,Wrong Item,16-11-2023
638,143606,Damaged,19-07-2023
639,191478,Customer Return,23-05-2023
640,241367,Customer Return,21-04-2023
641,180612,Wrong Item,05-04-2023
642,142879,Customer Return,22-06-2023
643,228077,Customer Return,09-11-2023
644,9056,Expired,19-12-2023
645,232717,Customer Return,20-10-2023
646,168869,Wrong Item,11-07-2023
647,217011,Expired,14-12-2023
648,4450,Damaged,06-06-2023
649,196122,Customer Return,13-09-2023
650,136134,Damaged,23-11-2023
651,23829,Expired,18-02-2023
652,138313,Customer Return,13-05-2023
653,109906,Wrong Item,11-03-2023
654,60976,Expired,24-05-2023
655,31829,Wrong Item,31-08-2023
656,99154,Wrong Item,13-05-2023
657,78527,Wrong Item,17-03-2023
658,89197,Wrong Item,31-10-2023
659,51680,Damaged,10-08-2023
660,42053,Customer Return,02-06-2023
661,27182,Expired,11-09-2023
662,125679,Wrong Item,21-02-2023
663,45873,Damaged,09-08-2023
664,159808,Expired,08-08-2023
665,124330,Expired,13-10-2023
666,81708,Expired,31-01-2023
667,4401,Customer Return,16-02-2023
668,16883,Damaged,04-06-2023
669,32811,Customer Return,27-04-2023
670,208424,Customer Return,18-05-2023
671,235440,Customer Return,20-08-2023
672,226249,Expired,04-02-2023
673,59958,Wrong Item,06-04-2023
674,222903,Wrong Item,17-03-2023
675,86904,Wrong Item,20-04-2023
676,162132,Damaged,03-05-2023
677,27855,Expired,19-04-2023
678,189036,Damaged,22-12-2023
679,200015,Customer Return,30-03-2023
680,75606,Damaged,16-03-2023
681,192976,Wrong Item,18-04-2023
682,80472,Damaged,07-04-2023
683,11602,Expired,02-01-2023
684,10491,Wrong Item,07-01-2023
685,174468,Damaged,21-08-2023
686,71865,Customer Return,22-01-2023
687,219834,Wrong Item,28-09-2023
688,190312,Damaged,19-07-2023
689,156106,Customer Return,15-02-2023
690,25680,Expired,27-06-2023
691,213844,Damaged,21-03-2023
692,175657,Wrong Item,28-03-2023
693,110196,Damaged,22-10-2023
694,71717,Expired,12-07-2023
695,6299,Customer Return,30-11-2023
696,14776,Damaged,21-06-2023
697,20386,Wrong Item,10-06-2023
698,140104,Wrong Item,03-09-2023
699,41010,Wrong Item,25-03-2023
700,27792,Expired,28-10-2023
701,84233,Expired,08-04-2023
702,55346,Customer Return,16-12-2023
703,175316,Wrong Item,16-06-2023
704,49227,Damaged,19-02-2023
705,72754,Customer Return,16-09-2023
706,15051,Expired,25-11-2023
707,60737,Customer Return,21-01-2023
708,234120,Damaged,20-12-2023
709,22064,Wrong Item,21-01-2023
710,24946,Damaged,24-04-2023
711,78186,Expired,13-05-2023
712,171044,Expired,05-05-2023
713,92659,Wrong Item,27-05-2023
714,82297,Wrong Item,16-08-2023
715,133687,Wrong Item,04-09-2023
716,74634,Expired,17-05-2023
717,41776,Customer Return,05-01-2023
718,54714,Expired,17-02-2023
719,178713,Expired,31-07-2023
720,36345,Customer Return,07-11-2023
721,55138,Wrong Item,11-06-2023
722,246590,Damaged,23-06-2023
723,158284,Expired,22-01-2023
724,230843,Wrong Item,25-10-2023
725,184808,Expired,18-09-2023
726,244159,Customer Return,05-07-2023
727,129901,Expired,02-04-2023
728,120221,Damaged,26-01-2023
729,239705,Wrong Item,10-12-2023
730,87290,Customer Return,10-01-2023
731,215601,Damaged,20-03-2023
732,235833,Wrong Item,08-09-2023
733,52234,Expired,07-02-2023
734,70540,Customer Return,01-06-2023
735,154493,Wrong Item,11-12-2023
736,47005,Expired,17-06-2023
737,66330,Damaged,25-09-2023
738,246100,Wrong Item,17-03-2023
739,13188,Expired,30-05-2023
740,199061,Customer Return,03-06-2023
741,39103,Wrong Item,15-08-2023
742,248826,Wrong Item,30-11-2023
743,82186,Expired,03-07-2023
744,3232,Wrong Item,12-09-2023
745,100431,Expired,10-03-2023
746,94845,Expired,27-03-2023
747,118461,Damaged,01-08-2023
748,228819,Customer Return,08-04-2023
749,192863,Expired,11-01-2023
750,105278,Damaged,12-01-2023
751,177183,Damaged,28-06-2023
752,168016,Customer Return,21-07-2023
753,249820,Expired,16-01-2023
754,246412,Wrong Item,27-01-2023
755,8303,Wrong Item,19-10-2023
756,55641,Expired,23-11-2023
757,8595,Customer Return,05-05-2023
758,47562,Customer Return,25-06-2023
759,194351,Wrong Item,14-03-2023
760,38845,Expired,24-08-2023
761,135154,Customer Return,27-12-2023
762,41001,Customer Return,06-04-2023
763,129173,Expired,28-10-2023
764,55570,Customer Return,21-09-2023
765,192196,Wrong Item,28-02-2023
766,155444,Customer Return,21-07-2023
767,239522,Expired,29-03-2023
768,176581,Damaged,06-09-2023
769,27149,Wrong Item,11-03-2023
770,44499,Customer Return,28-11-2023
771,117130,Expired,14-02-2023
772,94749,Expired,13-12-2023
773,26008,Expired,06-07-2023
774,81170,Damaged,25-05-2023
775,53788,Wrong Item,08-03-2023
776,200926,Wrong Item,08-08-2023
777,108700,Wrong Item,02-03-2023
778,182293,Customer Return,01-10-2023
779,162628,Damaged,07-05-2023
780,9981,Damaged,18-02-2023
781,228349,Customer Return,28-05-2023
782,187639,Wrong Item,07-11-2023
783,150598,Wrong Item,03-09-2023
784,169495,Customer Return,28-08-2023
785,134034,Customer Return,21-08-2023
786,113578,Damaged,12-11-2023
787,77738,Damaged,25-03-2023
788,68641,Damaged,06-07-2023
789,140902,Customer Return,28-12-2023
790,234764,Wrong Item,19-10-2023
791,208342,Customer Return,14-05-2023
792,207737,Wrong Item,18-08-2023
793,95820,Expired,21-07-2023
794,21545,Expired,05-08-2023
795,208881,Wrong Item,15-09-2023
796,202211,Damaged,09-11-2023
797,91221,Damaged,01-07-2023
